movie_id,genre_id
333339,28
333339,878
508883,16
508883,14
508883,18
490132,18
490132,35
490132,36
630,12
630,14
630,10751
1072790,10749
1072790,35
335,18
335,37
1008953,35
301,37
301,18
297802,28
297802,12
297802,14
284052,14
284052,12
284052,28
601,878
601,12
601,10751
601,14
49013,16
49013,10751
49013,12
49013,35
1111873,27
1111873,53
1241436,10752
1241436,28
585511,16
585511,12
585511,35
585511,14
530385,27
530385,18
530385,9648
14537,28
14537,18
14537,36
1294203,18
1294203,10749
321612,10751
321612,14
321612,10749
6844,18
6844,36
5548,28
5548,53
5548,878
424694,10402
424694,18
18491,16
18491,878
18491,18
18491,14
550988,35
550988,12
550988,878
75656,53
75656,80
150689,10749
150689,14
150689,10751
150689,18
57158,14
57158,12
57158,28
50646,35
50646,18
50646,10749
343611,28
343611,53
343611,18
343611,80
11688,12
11688,16
11688,35
11688,10751
11688,14
1124566,18
345,18
345,53
345,9648
102651,14
102651,12
102651,28
102651,10751
102651,10749
135397,28
135397,12
135397,878
135397,53
4248,35
373571,878
373571,28
954,12
954,28
954,53
1043197,14
1043197,28
1043197,27
6479,18
6479,878
6479,53
14537,28
14537,18
14537,36
49013,16
49013,10751
49013,12
49013,35
851644,10749
851644,18
27578,53
27578,12
27578,28
1267319,28
1267319,80
1267319,53
562,28
562,53
524434,878
524434,28
524434,12
1033148,18
1008953,35
49530,28
49530,53
49530,878
558,28
558,12
558,878
359724,18
359724,28
359724,36
577922,28
577922,53
577922,878
1022256,99
1022256,10402
810,14
810,12
810,16
810,35
810,10751
843,18
843,10749
46195,16
46195,12
46195,35
46195,10751
566525,28
566525,12
566525,14
12155,10751
12155,14
12155,12
168259,28
168259,80
168259,53
370663,18
370663,10749
1029575,28
1029575,35
1029575,10751
454626,28
454626,878
454626,35
454626,10751
426063,27
426063,14
792307,878
792307,10749
792307,35
1242419,80
1242419,35
1242419,18
6479,18
6479,878
6479,53
508943,16
508943,10751
508943,14
508943,35
508943,18
82702,14
82702,28
82702,12
82702,16
82702,10751
370172,28
370172,53
370172,12
